 ,Label,X,Y
1,IMG_20230228_141707.jpg,2476.667,2543.333
2,IMG_20230228_141707.jpg,2478.000,2708.000
3,IMG_20230228_141707.jpg,2636.000,2707.000
4,IMG_20230228_141707.jpg,2635.667,2543.333
5,IMG_20230228_141707.jpg,2892.000,3017.000
6,IMG_20230228_141707.jpg,3047.750,3018.000
7,IMG_20230228_141707.jpg,3046.750,3178.000
8,IMG_20230228_141707.jpg,2890.750,3176.250
9,IMG_20230228_141707.jpg,3297.333,2538.333
10,IMG_20230228_141707.jpg,3457.667,2536.667
11,IMG_20230228_141707.jpg,3297.000,2701.000
12,IMG_20230228_141707.jpg,3455.333,2697.667
13,IMG_20230228_141757.jpg,2416.500,2117.500
14,IMG_20230228_141757.jpg,2420.000,2298.000
15,IMG_20230228_141757.jpg,2589.000,2297.667
16,IMG_20230228_141757.jpg,2588.000,2118.333
17,IMG_20230228_141757.jpg,2861.333,2636.000
18,IMG_20230228_141757.jpg,2861.333,2809.000
19,IMG_20230228_141757.jpg,3027.667,2640.000
20,IMG_20230228_141757.jpg,3025.667,2811.667
21,IMG_20230228_141757.jpg,3301.333,2121.000
22,IMG_20230228_141757.jpg,3297.333,2298.667
23,IMG_20230228_141757.jpg,3466.000,2296.333
24,IMG_20230228_141757.jpg,3471.333,2121.000
25,IMG_20230228_141926.jpg,2458.667,2494.333
26,IMG_20230228_141926.jpg,2460.333,2673.000
27,IMG_20230228_141926.jpg,2633.667,2673.000
28,IMG_20230228_141926.jpg,2632.667,2495.333
29,IMG_20230228_141926.jpg,2907.667,3010.667
30,IMG_20230228_141926.jpg,2907.333,3183.667
31,IMG_20230228_141926.jpg,3076.333,3185.667
32,IMG_20230228_141926.jpg,3078.333,3011.667
33,IMG_20230228_141926.jpg,3353.667,2494.333
34,IMG_20230228_141926.jpg,3351.667,2671.000
35,IMG_20230228_141926.jpg,3524.000,2671.000
36,IMG_20230228_141926.jpg,3527.333,2493.667
37,IMG_20230228_142018.jpg,2426.000,2296.000
38,IMG_20230228_142018.jpg,2428.333,2469.667
39,IMG_20230228_142018.jpg,2592.333,2470.667
40,IMG_20230228_142018.jpg,2591.667,2297.000
41,IMG_20230228_142018.jpg,2856.000,2799.000
42,IMG_20230228_142018.jpg,2854.000,2967.000
43,IMG_20230228_142018.jpg,3016.333,2970.667
44,IMG_20230228_142018.jpg,3019.333,2801.667
45,IMG_20230228_142018.jpg,3283.667,2301.333
46,IMG_20230228_142018.jpg,3281.000,2473.333
47,IMG_20230228_142018.jpg,3446.667,2473.333
48,IMG_20230228_142018.jpg,3451.000,2301.667
49,IMG_20230228_142328.jpg,2480.000,2480.667
50,IMG_20230228_142328.jpg,2482.667,2659.000
51,IMG_20230228_142328.jpg,2653.333,2659.000
